Outcome,Team A,Team B,Score A,Score B,Date
1,Andbox,Amarok Esports,2,0,"Thursday, February 11th"
1,Take Flyte,Dallas Vendetta,2,0,"Thursday, February 11th"
1,Cloud9 White,Lunch Club,2,1,"Thursday, February 11th"
1,On The Way,ThiccWRECK,2,0,"Thursday, February 11th"
1,FaZe Clan,Match Point,2,0,"Thursday, February 11th"
1,Flow State,Enigma,2,0,"Thursday, February 11th"
1,eUnited,GCU Esports,2,0,"Thursday, February 11th"
-1,Sakura Storm,PremierGG,1,2,"Thursday, February 11th"
1,Carpe Noctem,sadHours,2,0,"Thursday, February 11th"
-1,VT Valorant,Triangle Offense,0,2,"Thursday, February 11th"
1,Version1,Onslaught Gaming,2,0,"Thursday, February 11th"
1,Time In,S2,2,0,"Thursday, February 11th"
1,T1,NC State Esports,2,0,"Thursday, February 11th"
1,Headshot Percentage,Nice Throw,2,0,"Thursday, February 11th"
1,ex-Serenity,Phantom V,2,0,"Thursday, February 11th"
1,303 Esports,Entourage,2,0,"Thursday, February 11th"
1,Built By Gamers,IQ White,2,0,"Thursday, February 11th"
1,Demon Time,lads,2,0,"Thursday, February 11th"
1,Spot Up,ABC Boiz,2,0,"Thursday, February 11th"
1,Brimstone Gaming,Bad Karma Esports,2,0,"Thursday, February 11th"
1,TSM,ATK Mode,2,0,"Thursday, February 11th"
-1,Aqua,D2E Gold,0,2,"Thursday, February 11th"
1,Slimy Boogermen,Zelo,2,0,"Thursday, February 11th"
1,Elysium,Zero MarksMen,2,0,"Thursday, February 11th"
1,Big Frames,Mob Mentality eSports,2,0,"Thursday, February 11th"
1,Able Esports,EthanK Fan Club,2,0,"Thursday, February 11th"
1,Dignitas,Shoguns,2,0,"Thursday, February 11th"
1,RIFLE CRUTCHERS,Boys Who Cry,2,0,"Thursday, February 11th"
1,Gen.G,TAMU Maroon,2,0,"Thursday, February 11th"
1,VIRTUOSO,Dialed In,2,0,"Thursday, February 11th"
-1,Penguin Sledding,D2E Black,1,2,"Thursday, February 11th"
1,down bad,Waverunners,2,0,"Thursday, February 11th"
1,Cloud9,"Stay Small, Stay Second",2,0,"Thursday, February 11th"
1,Fluid Gaming,Valkyrie,2,0,"Thursday, February 11th"
-1,Roosters,Black Dragon Society,1,2,"Thursday, February 11th"
1,Hollywood Hooliganz,o7,2,0,"Thursday, February 11th"
1,Envy,Aquatik,2,0,"Thursday, February 11th"
1,Archons,AllKnights,2,0,"Thursday, February 11th"
1,beastcoast,Radiant Roombas,2,0,"Thursday, February 11th"
1,Evil Geniuses,Bounty Esports,2,1,"Thursday, February 11th"
1,Spacestation Gaming,Prism Esports,2,0,"Thursday, February 11th"
-1,YFP Gaming,SDK,1,2,"Thursday, February 11th"
1,Knights,LGI,2,0,"Thursday, February 11th"
1,Grapefruit Techniques,team wide peek,2,0,"Thursday, February 11th"
1,Renegades,Java PR,2,0,"Thursday, February 11th"
-1,seeker,Goomba Squad,1,2,"Thursday, February 11th"
1,Sedated,5G Gaming,2,0,"Thursday, February 11th"
1,BLAHAJ,Zero Gravity,2,1,"Thursday, February 11th"
1,Equinox Esports,GamerDuderGuys,2,0,"Thursday, February 11th"
1,Spotlight,Team Reinvented Gaming,2,0,"Thursday, February 11th"
1,Rise,Onslaught Gaming Red,2,0,"Thursday, February 11th"
-1,PROJECT X,NBKS CENTURIONS,1,2,"Thursday, February 11th"
1,Complexity,Reformed,2,1,"Thursday, February 11th"
-1,T1,Headshot Percentage,1,2,"Thursday, February 11th"
1,NSIC,Elevate,2,1,"Thursday, February 11th"
1,Ghost Gaming,Big Backwoods,2,1,"Thursday, February 11th"
1,NRG Esports,ANEW Esports,2,0,"Thursday, February 11th"
1,Andbox,Take Flyte,2,0,"Thursday, February 11th"
1,FaZe Clan,Flow State,2,0,"Thursday, February 11th"
1,Version1,Time In,2,0,"Thursday, February 11th"
1,Built By Gamers,Demon Time,2,0,"Thursday, February 11th"
1,TSM,D2E Gold,2,0,"Thursday, February 11th"
1,Slimy Boogermen,Elysium,2,1,"Thursday, February 11th"
1,Big Frames,Able Esports,2,0,"Thursday, February 11th"
1,Cloud9,Fluid Gaming,2,0,"Thursday, February 11th"
1,Envy,Archons,2,0,"Thursday, February 11th"
1,Equinox Esports,Spotlight,2,0,"Thursday, February 11th"
1,FUNSNATCHERS,Last Round Save,2,1,"Thursday, February 11th"
1,Carpe Noctem,Triangle Offense,2,0,"Thursday, February 11th"
1,ex-Serenity,303 Esports,2,0,"Thursday, February 11th"
1,Dignitas,RIFLE CRUTCHERS,2,0,"Thursday, February 11th"
1,Gen.G,VIRTUOSO,2,0,"Thursday, February 11th"
1,Knights,Grapefruit Techniques,2,0,"Thursday, February 11th"
1,Rise,NBKS CENTURIONS,2,0,"Thursday, February 11th"
1,100 Thieves,VZN,2,0,"Thursday, February 11th"
-1,Cloud9 White,On The Way,0,2,"Thursday, February 11th"
1,Spot Up,Brimstone Gaming,2,0,"Thursday, February 11th"
-1,Black Dragon Society,Hollywood Hooliganz,1,2,"Thursday, February 11th"
1,beastcoast,Evil Geniuses,2,0,"Thursday, February 11th"
