Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
1,Spacestation Gaming,Knights,2,1,2021-02-12,3,Haven,Ascent,Bind,,
1,Renegades,Sedated,2,1,2021-02-12,3,Split,Bind,Ascent,,
-1,Equinox Esports,Rise,1,2,2021-02-12,3,Split,Ascent,Bind,,
1,TSM,Dignitas,2,0,2021-02-12,3,Bind,Ascent,Icebox,,
-1,NRG Esports,Andbox,0,2,2021-02-12,3,Split,Icebox,Bind,,
1,Gen.G,Cloud9,2,1,2021-02-12,3,Icebox,Haven,Ascent,,
1,100 Thieves,Ghost Gaming,2,0,2021-02-12,3,Haven,Ascent,Bind,,
1,FaZe Clan,Version1,2,1,2021-02-12,3,Haven,Ascent,Split,,
-1,ex-Serenity,Built By Gamers,0,2,2021-02-12,3,Haven,Ascent,Bind,,
1,Renegades,Rise,2,1,2021-02-12,3,Split,Haven,Bind,,
1,Envy,Spacestation Gaming,2,0,2021-02-12,3,Bind,Icebox,Ascent,,
1,100 Thieves,Andbox,2,0,2021-02-13,3,Ascent,Icebox,Bind,,
1,FaZe Clan,Built By Gamers,2,1,2021-02-13,3,Bind,Ascent,Haven,,
-1,TSM,Gen.G,1,2,2021-02-14,3,Icebox,Ascent,Bind,,
1,Envy,Renegades,2,0,2021-02-14,3,Ascent,Split,Bind,,
1,Sentinels,FaZe Clan,2,0,2021-02-20,3,Haven,Split,Ascent,,
-1,XSET,Envy,0,2,2021-02-20,3,Split,Bind,Ascent,,
1,Immortals,Gen.G,2,0,2021-02-20,3,Icebox,Ascent,Bind,,
1,Luminosity,100 Thieves,2,1,2021-02-20,3,Ascent,Icebox,Bind,,
-1,FaZe Clan,XSET,0,2,2021-02-20,3,Haven,Bind,Ascent,,
-1,Gen.G,100 Thieves,0,2,2021-02-20,3,Haven,Icebox,Bind,,
-1,Sentinels,Envy,1,2,2021-02-21,3,Ascent,Icebox,Split,,
1,Immortals,Luminosity,2,1,2021-02-21,3,Icebox,Ascent,Bind,,
1,Sentinels,100 Thieves,2,0,2021-02-21,3,Ascent,Haven,Icebox,,
-1,Luminosity,XSET,0,2,2021-02-21,3,Bind,Ascent,Split,,
1,Envy,Immortals,2,1,2021-02-22,3,Bind,Ascent,Icebox,,
-1,XSET,Sentinels,0,2,2021-02-22,3,Haven,Split,Ascent,,
-1,Immortals,Sentinels,0,2,2021-02-22,3,Split,Ascent,Icebox,,
1,Envy,Sentinels,3,0,2021-02-23,5,,Haven,Bind,Split,Icebox
